deadly_accidents,deaths,jurisdiction,other_accidents,other_injured,serious_accidents,seriously_injured,year
45,48,ΓE.Π.Α.Δ. ΚΡΗΤΗΣ,63,126,36,42,2017
32,34,ΓE.Π.Α.Δ. ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,251,352,56,60,2017
60,65,ΓE.Π.Α.Δ. ΠΕΛΟΠΟΝΝΗΣΟΥ,415,616,48,58,2017
55,65,ΓE.Π.Α.Δ. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,390,556,40,55,2017
36,37,Γ.Α.Δ. ΘΕΣΣΑΛΟΝΙΚΗΣ,1409,1817,31,35,2018
196,202,Γ.Α.Δ. ΑΤΤΙΚΗΣ,5198,6298,168,186,2018
33,45,Γ.Π.Α.Δ. ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,329,473,53,70,2018
13,14,Γ.Π.Α.Δ. ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,184,232,20,23,2018
58,61,Γ.Π.Α.Δ. ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,424,582,49,51,2018
19,22,Γ.Π.Α.Δ. ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ,40,69,5,8,2018
23,26,Γ.Π.Α.Δ. ΗΠΕΙΡΟΥ,82,124,15,17,2018
27,28,Γ.Π.Α.Δ. ΘΕΣΣΑΛΙΑΣ,129,205,39,43,2018
9,10,Γ.Π.Α.Δ. ΙΟΝΙΩΝ ΝΗΣΩΝ,90,119,15,16,2018
45,51,Γ.Π.Α.Δ. ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ,273,417,36,44,2018
44,48,Γ.Π.Α.Δ. ΚΡΗΤΗΣ,72,115,34,42,2018
45,50,Γ.Π.Α.Δ. ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,332,444,63,75,2018
57,63,Γ.Π.Α.Δ. ΠΕΛΟΠΟΝΝΗΣΟΥ,438,618,34,43,2018
50,52,Γ.Π.Α.Δ. ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,377,560,39,48,2018
56,58,Γ.Α.Δ. ΘΕΣΣΑΛΟΝΙΚΗΣ,1414,1768,31,38,2019
187,194,Γ.Α.Δ. ΑΤΤΙΚΗΣ,5393,6404,173,192,2019
40,47,ΓE.Π.Α.Δ. ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,338,475,29,34,2019
